timestamp,steering,speed,throttle
1745557835.274486,-0.25,9.15,0.09
1745557836.0199263,-0.25,9.15,0.09
1745557836.7543302,-0.25,9.15,0.09
1745557837.4946008,-0.25,9.15,0.09
1745557838.2166812,-0.25,9.15,0.09
1745557838.914074,-0.25,9.15,0.09
1745557839.6690931,-0.25,9.15,0.09
1745557840.4240663,-0.25,9.15,0.09
1745557841.160831,-0.25,9.15,0.09
1745557841.9417853,-0.25,9.15,0.09
1745557842.7384608,-0.25,9.15,0.09
1745557843.4360082,-0.25,9.15,0.09
1745557844.177074,-0.25,9.15,0.09
1745557844.944444,-0.25,9.15,0.09
1745557845.6711926,-0.25,9.15,0.09
1745557846.445285,-0.25,9.15,0.09
1745557847.1650493,-0.25,9.15,0.09
1745557847.901841,-0.25,9.15,0.09
1745557848.6373723,-0.25,9.15,0.09
1745557849.3821144,-0.25,9.15,0.09
1745557850.1138163,-0.25,9.15,0.09
1745557850.839538,-0.25,9.15,0.09
1745557851.584318,-0.25,9.15,0.09
1745557852.3046625,-0.25,9.15,0.09
1745557853.068606,-0.25,9.15,0.09
1745557853.8226314,-0.25,9.15,0.09
1745557854.6453378,-0.25,9.15,0.09
1745557855.3615873,-0.25,9.15,0.09
1745557856.091768,-0.25,9.15,0.09
1745557856.8211699,-0.25,9.15,0.09
1745557857.5310462,-0.25,9.15,0.09
1745557858.2753072,-0.25,9.15,0.09
1745557859.0171797,-0.25,9.15,0.09
1745557859.7467518,-0.25,9.15,0.09
1745557860.4822872,-0.25,9.15,0.09
1745557861.2168133,-0.25,9.15,0.09
1745557861.9679058,-0.25,9.15,0.09
1745557862.7182605,-0.25,9.15,0.09
1745557863.442939,-0.25,9.15,0.09
1745557864.2691264,-0.25,9.15,0.09
1745557865.0538392,-0.25,9.15,0.09
1745557865.8176632,-0.25,9.15,0.09
1745557866.5606816,-0.25,9.15,0.09
1745557867.3144534,-0.25,9.15,0.09
1745557868.1206212,-0.25,9.15,0.09
1745557868.8791683,-0.25,9.15,0.09
1745557869.643373,-0.25,9.15,0.09
1745557870.3781812,-0.25,9.15,0.09
1745557871.1229131,-0.25,9.15,0.09
1745557871.8445592,-0.25,9.15,0.09
1745557872.5788493,-0.25,9.15,0.09
1745557873.3364093,-0.25,9.15,0.09
1745557874.1073134,-0.25,9.15,0.09
1745557874.84649,-0.25,9.15,0.09
1745557875.5906944,-0.25,9.15,0.09
1745557876.3447533,-0.25,9.15,0.09
1745557877.0870168,-0.25,9.15,0.09
1745557877.9131746,-0.25,9.15,0.09
1745557878.633576,-0.25,9.15,0.09
1745557879.4012039,-0.25,9.15,0.09
1745557880.1990013,-0.25,9.15,0.09
1745557880.9456105,-0.25,9.15,0.09
1745557881.694333,-0.25,9.15,0.09
1745557882.4378405,-0.25,9.15,0.09
1745557883.1793423,-0.25,9.15,0.09
1745557883.9802318,-0.25,9.15,0.09
1745557884.7651713,-0.25,9.15,0.09
1745557885.518177,-0.25,9.15,0.09
1745557886.2641437,-0.25,9.15,0.09
1745557886.9989226,-0.25,9.15,0.09
1745557887.723135,-0.25,9.15,0.09
1745557888.487019,-0.25,9.15,0.09
1745557889.249775,-0.25,9.15,0.09
1745557890.003186,-0.25,9.15,0.09
1745557890.799529,-0.25,9.15,0.09
1745557891.5338655,-0.25,9.15,0.09
1745557892.278427,-0.25,9.15,0.09
1745557893.0342863,-0.25,9.15,0.09
1745557893.7650077,-0.25,9.15,0.09
1745557894.5380201,-0.25,9.15,0.09
1745557895.2877064,-0.25,9.15,0.09
1745557896.0541627,-0.25,9.15,0.09
1745557896.8203406,-0.25,9.15,0.09
1745557897.5604947,-0.25,9.15,0.09
1745557898.3406003,-0.25,9.15,0.09
1745557899.0710464,-0.25,9.15,0.09
1745557899.815626,-0.25,9.15,0.09
1745557900.6047447,-0.25,9.15,0.09
1745557901.3439946,-0.25,9.15,0.09
1745557902.1199749,-0.25,9.15,0.09
1745557902.8642445,-0.25,9.15,0.09
1745557903.6141524,-0.25,9.15,0.09
1745557904.4263825,-0.25,9.15,0.09
1745557905.1975088,-0.25,9.15,0.09
1745557905.9390206,-0.25,9.15,0.09
1745557906.697707,-0.25,9.15,0.09
1745557907.453207,-0.25,9.15,0.09
1745557908.2063308,-0.25,9.15,0.09
1745557908.9863753,-0.25,9.15,0.09
1745557909.7543988,-0.25,9.15,0.09
1745557910.5089624,-0.25,9.15,0.09
1745557911.260131,-0.25,9.15,0.09
1745557912.0888648,-0.25,9.15,0.09
1745557912.8355608,-0.25,9.15,0.09
1745557913.587497,-0.25,9.15,0.09
1745557914.378449,-0.25,9.15,0.09
1745557915.111867,-0.25,9.15,0.09
1745557915.8537233,-0.25,9.15,0.09
1745557916.606259,-0.25,9.15,0.09
1745557917.342442,-0.25,9.15,0.09
