timestamp,gradcam_latency
1754587370.259038,0.014463
1754587370.295205,0.012093
1754587370.3319323,0.009508
1754587370.36795,0.009330
1754587370.4090278,0.013478
1754587370.4584672,0.018035
1754587370.5083096,0.016533
1754587370.6779342,0.126030
1754587370.8340447,0.049975
1754587371.053624,0.031654
1754587371.1577122,0.033267
1754587371.1973107,0.012043
1754587371.2311676,0.012037
1754587371.2688637,0.014575
1754587371.303895,0.011528
1754587371.3455415,0.011262
1754587371.383457,0.013006
1754587371.4263396,0.016580
1754587371.4675722,0.014543
1754587371.5026646,0.011063
1754587371.5367525,0.010517
1754587371.57871,0.014359
1754587371.6289022,0.022465
1754587371.690508,0.021713
1754587371.7485335,0.024932
1754587371.809087,0.019805
1754587371.8805583,0.017086
1754587371.9324687,0.014328
1754587371.964723,0.009127
1754587372.0089939,0.011519
1754587372.043936,0.008379
1754587372.0837,0.013364
1754587372.1292162,0.015137
1754587372.1646075,0.014242
1754587372.2007911,0.008481
1754587372.2355978,0.010985
1754587372.2734983,0.009514
1754587372.3185613,0.012518
1754587372.3506503,0.008523
1754587372.3949115,0.016539
1754587372.4617221,0.022204
1754587372.5243316,0.026136
1754587372.65478,0.071716
1754587372.8804018,0.055523
1754587373.0959978,0.051581
1754587373.181324,0.026920
1754587373.23482,0.012371
1754587373.273213,0.011730
1754587373.3134959,0.015629
1754587373.3513641,0.013776
1754587373.397557,0.018039
1754587373.435769,0.013285
1754587373.4725654,0.013635
1754587373.5236485,0.018883
1754587373.5594378,0.014564
1754587373.6016612,0.013326
1754587373.644417,0.011528
1754587373.6909742,0.019701
1754587373.7313285,0.012547
1754587373.7791843,0.015524
1754587373.8206966,0.018024
1754587373.8630705,0.012733
1754587373.9037719,0.012112
1754587373.9433188,0.015001
1754587373.984643,0.009509
1754587374.025899,0.012352
1754587374.07034,0.016524
1754587374.1454246,0.032613
1754587374.211592,0.017797
1754587374.2652142,0.015590
1754587374.3240871,0.015290
1754587374.386175,0.017094
1754587374.4638011,0.017027
1754587374.5274973,0.015069
1754587374.5855644,0.020934
1754587374.7080402,0.087028
1754587374.882895,0.053912
1754587375.1776001,0.030429
1754587375.252818,0.025087
1754587375.2934167,0.011515
1754587375.3312461,0.013553
1754587375.372071,0.017486
1754587375.4130287,0.012553
1754587375.462203,0.013072
